date,cpi
1955-01-01,17.6819626273230
1955-02-01,17.6819626273230
1955-03-01,17.5681302499051
1955-04-01,17.7199067531405
1955-05-01,17.5491581869963
1955-06-01,17.5681302499051
1955-07-01,17.4922419982701
1955-08-01,17.6060743757226
1955-09-01,17.6819626273230
1955-10-01,17.7957950047410
1955-11-01,17.3784096208522
1955-12-01,17.3025213692172
1956-01-01,17.3973816837609
1956-02-01,17.5491581869963
1956-03-01,17.5871023128138
1956-04-01,17.6250464385968
1956-05-01,17.5491581869963
1956-06-01,17.9096273821934
1956-07-01,17.5491581869963
1956-08-01,17.6440185015055
1956-09-01,17.7957950047410
1956-10-01,17.8906553192847
1956-11-01,17.5871023128138
1956-12-01,17.7768229418667
1957-01-01,17.9665435708851
1957-02-01,17.9285994451021
1957-03-01,17.9855156337939
1957-04-01,18.0993480112463
1957-05-01,18.2511245144817
1957-06-01,18.1942083257555
1957-07-01,18.4029010177171
1957-08-01,18.5357054580438
1957-09-01,18.4408451435346
1957-10-01,18.3839289548084
1957-11-01,18.1372921370293
1957-12-01,18.0993480112463
1958-01-01,18.1372921370293
1958-02-01,17.9855156337939
1958-03-01,17.9096273821934
1958-04-01,17.9855156337939
1958-05-01,17.9665435708851
1958-06-01,18.1752362628467
1958-07-01,18.0993480112463
1958-08-01,18.2890686402992
1958-09-01,18.1942083257555
1958-10-01,18.3459848289909
1958-11-01,18.1562641999380
1958-12-01,18.1372921370293
1959-01-01,18.1562641999380
1959-02-01,18.0803759483376
1959-03-01,18.1372921370293
1959-04-01,18.2321524515730
1959-05-01,18.0993480112463
1959-06-01,18.2321524515730
1959-07-01,18.2511245144817
1959-08-01,18.5357054580438
1959-09-01,18.3649568918996
1959-10-01,18.6115937096788
1959-11-01,18.5167333951351
1959-12-01,18.5167333951351
1960-01-01,18.7443981500054
1960-02-01,18.7633702129142
1960-03-01,18.7064540241880
1960-04-01,18.8202864016059
1960-05-01,18.9910349675775
1960-06-01,18.9151467161496
1960-07-01,18.8961746532409
1960-08-01,19.0479511562347
1960-09-01,19.1997276595046
1960-10-01,19.2945879741174
1960-11-01,19.0289790935330
1960-12-01,19.1807555968030
1961-01-01,19.4463644773873
1961-02-01,19.5412247920000
1961-03-01,19.5032806660445
1961-04-01,19.6930012949939
1961-05-01,19.5981409806572
1961-06-01,19.5981409806572
1961-07-01,19.9206660498988
1961-08-01,20.0724425531687
1961-09-01,20.1862749307592
1961-10-01,20.6226323775912
1961-11-01,20.7174926919278
1961-12-01,20.9072133211533
1962-01-01,21.0400177614454
1962-02-01,20.9641295098105
1962-03-01,21.0020736354899
1962-04-01,21.2297383903948
1962-05-01,21.3435707679853
1962-06-01,21.2676825163503
1962-07-01,21.4763752082775
1962-08-01,21.4763752082775
1962-09-01,21.4004869566425
1962-10-01,21.5712355226141
1962-11-01,21.4953472709792
1962-12-01,21.9317047178112
1963-01-01,22.2921739130082
1963-02-01,22.3930434782462
1963-03-01,22.4939130434842
1963-04-01,22.5947826086763
1963-05-01,22.7713043477969
1963-06-01,22.9478260869634
1963-07-01,22.7965217391064
1963-08-01,22.7208695652238
1963-09-01,23.1747826087030
1963-10-01,23.0991304347745
1963-11-01,22.9982608695365
1963-12-01,23.0991304347745
1964-01-01,23.1243478260840
1964-02-01,23.0991304347745
1964-03-01,23.1999999999666
1964-04-01,23.4773913043252
1964-05-01,23.5782608695632
1964-06-01,23.5278260869442
1964-07-01,23.4017391304426
1964-08-01,23.6539130434458
1964-09-01,23.9565217391139
1964-10-01,24.3852173912836
1964-11-01,24.1834782608535
1964-12-01,24.1834782608535
1965-01-01,24.7130434782612
1965-02-01,24.6626086956422
1965-03-01,24.8139130434533
1965-04-01,25.3434782606317
1965-05-01,25.1921739130499
1965-06-01,25.1417391304309
1965-07-01,25.0156521738835
1965-08-01,25.1417391304309
1965-09-01,25.4947826086722
1965-10-01,25.8226086954204
1965-11-01,25.5704347825089
1965-12-01,25.7469565215836
1966-01-01,25.9991304344951
1966-02-01,26.2008695649711
1966-03-01,26.3017391302091
1966-04-01,26.6043478259231
1966-05-01,26.4278260868483
1966-06-01,26.4782608692838
1966-07-01,26.5539130434875
1966-08-01,26.3521739130116
1966-09-01,26.6547826083586
1966-10-01,26.8313043478003
1966-11-01,26.6295652173243
1966-12-01,26.8817391302358
1967-01-01,27.1843478259497
1967-02-01,27.3104347825890
1967-03-01,27.3608695650245
1967-04-01,27.4365217388612
1967-05-01,27.2599999997865
1967-06-01,27.1086956521130
1967-07-01,27.0834782607118
1967-08-01,27.3104347825890
1967-09-01,27.7391304345752
1967-10-01,28.2182608693639
1967-11-01,28.1930434779627
1967-12-01,28.3947826084386
1968-01-01,28.6217391303158
1968-02-01,28.7478260869551
1968-03-01,28.7982608693906
1968-04-01,28.8739130432273
1968-05-01,28.8739130432273
1968-06-01,28.6217391303158
1968-07-01,28.6217391303158
1968-08-01,28.8739130432273
1968-09-01,29.5295652170908
1968-10-01,29.5547826084920
1968-11-01,29.6304347823288
1968-12-01,29.5043478260565
1969-01-01,29.6052173912945
1969-02-01,29.6052173912945
1969-03-01,29.9078260866415
1969-04-01,30.2104347823554
1969-05-01,30.2356521737567
1969-06-01,30.2860869561922
1969-07-01,30.6643478257429
1969-08-01,30.9417391304226
1969-09-01,31.1686956519328
1969-10-01,31.3199999999733
1969-11-01,31.1939130433341
1969-12-01,31.3956521738101
1970-01-01,31.9000000000000
1970-02-01,32.0000000000000
1970-03-01,32.3000000000000
1970-04-01,32.6000000000000
1970-05-01,32.5000000000000
1970-06-01,32.5000000000000
